code,title,level,units,coordinating_unit,source
ADPS3300,Industry Placement,Undergraduate,2.0,"Architecture, Design and Planning School",https://programs-courses.uq.edu.au/course.html?course_code=ADPS3300
ADPS7300,Industry Placement,Postgraduate Coursework,2.0,"Architecture, Design and Planning School",https://programs-courses.uq.edu.au/course.html?course_code=ADPS7300
ADVT7510,Social Media Management,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=ADVT7510
ADVT7512,Media Planning and Buying,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=ADVT7512
ARTT3200,Art Internships & Independent Research,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=ARTT3200
BIOM6070,Biomedical Science Research Preparative Skills,Undergraduate,2.0,Biomedical Sciences School,https://programs-courses.uq.edu.au/course.html?course_code=BIOM6070
BIOM6080,Biomedical Science Research Techniques,Undergraduate,2.0,Biomedical Sciences School,https://programs-courses.uq.edu.au/course.html?course_code=BIOM6080
BIOX6000,Paper Critique,Postgraduate Coursework,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX6000
BIOX7000,Area Review,Postgraduate Coursework,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7000
BIOX7002,Research Project A,Postgraduate Coursework,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7002
BIOX7003,Research Project B,Postgraduate Coursework,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7003
BIOX7004,Research Project A,Postgraduate Coursework,4.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7004
BIOX7005,Research Project B,Postgraduate Coursework,4.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7005
BIOX7008,Major Research Project & Seminar,Postgraduate Coursework,8.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7008
BIOX7009,Major Research Project & Seminar,Postgraduate Coursework,8.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7009
BIOX7026,Advanced Research Project & Seminar,Postgraduate Coursework,16.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7026
BIOX7100,Literature Review,Postgraduate Coursework,4.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7100
BIOX7101,Literature Review,Postgraduate Coursework,4.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7101
BIOX7200,Project Proposal,Postgraduate Coursework,2.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7200
BIOX7504,Industry Research Placement,Postgraduate Coursework,4.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7504
BIOX7508,Industry Research Placement,Postgraduate Coursework,8.0,Chemistry & Molec Biosciences,https://programs-courses.uq.edu.au/course.html?course_code=BIOX7508
BISM3208,Business Information Systems & Analytics Capstone,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=BISM3208
BISM7208,Business Information Systems Capstone,Postgraduate Coursework,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=BISM7208
BSAN2201,Principles of Business Analytics,Undergraduate,2.0,Business School,https://programs-courses.uq.edu.au/course.html?course_code=BSAN2201
CIVL4600,Research Project,Undergraduate,2.0,Civil Engineering School,https://programs-courses.uq.edu.au/course.html?course_code=CIVL4600
CIVL7515,Research Project,Postgraduate Coursework,4.0,Civil Engineering School,https://programs-courses.uq.edu.au/course.html?course_code=CIVL7515
COMP1100,Introduction to Software Innovation,Undergraduate,2.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=COMP1100
COMU1140,Multimedia,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=COMU1140
COMU3801,Communication Internship,Undergraduate,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=COMU3801
COMU7009,Thesis,Postgraduate Coursework,6.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=COMU7009
COMU7015,Industry Placement,Postgraduate Coursework,2.0,Communication & Arts School,https://programs-courses.uq.edu.au/course.html?course_code=COMU7015
CONS7004,Major Research Project & Seminars,Postgraduate Coursework,8.0,The Environment School,https://programs-courses.uq.edu.au/course.html?course_code=CONS7004
CRIM1000,Introduction to Criminology,Undergraduate,2.0,Social Science School,https://programs-courses.uq.edu.au/course.html?course_code=CRIM1000
CYBR7001,Fundamentals of Cyber Security,Postgraduate Coursework,2.0,Elec Engineering & Comp Science School,https://programs-courses.uq.edu.au/course.html?course_code=CYBR7001
