course_code	course_html_link
ABTS1050	https://programs-courses.uq.edu.au/course.html?course_code=ABTS1050
ABTS2030	https://programs-courses.uq.edu.au/course.html?course_code=ABTS2030
ABTS3020	https://programs-courses.uq.edu.au/course.html?course_code=ABTS3020
ACCT1101	https://programs-courses.uq.edu.au/course.html?course_code=ACCT1101
ACCT1102	https://programs-courses.uq.edu.au/course.html?course_code=ACCT1102
ACCT1110	https://programs-courses.uq.edu.au/course.html?course_code=ACCT1110
ACCT1111	https://programs-courses.uq.edu.au/course.html?course_code=ACCT1111
ACCT1112	https://programs-courses.uq.edu.au/course.html?course_code=ACCT1112
ACCT2102	https://programs-courses.uq.edu.au/course.html?course_code=ACCT2102
ACCT2103	https://programs-courses.uq.edu.au/course.html?course_code=ACCT2103
ACCT2110	https://programs-courses.uq.edu.au/course.html?course_code=ACCT2110
ACCT3101	https://programs-courses.uq.edu.au/course.html?course_code=ACCT3101
ACCT3103	https://programs-courses.uq.edu.au/course.html?course_code=ACCT3103
ACCT3104	https://programs-courses.uq.edu.au/course.html?course_code=ACCT3104
ACCT3106	https://programs-courses.uq.edu.au/course.html?course_code=ACCT3106
ACCT7101	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7101
ACCT7102	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7102
ACCT7103	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7103
ACCT7104	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7104
ACCT7106	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7106
ACCT7107	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7107
ACCT7804	https://programs-courses.uq.edu.au/course.html?course_code=ACCT7804
ADPS3300	https://programs-courses.uq.edu.au/course.html?course_code=ADPS3300
ADPS4000	https://programs-courses.uq.edu.au/course.html?course_code=ADPS4000
ADPS7061	https://programs-courses.uq.edu.au/course.html?course_code=ADPS7061
ADPS7300	https://programs-courses.uq.edu.au/course.html?course_code=ADPS7300
ADVT3509	https://programs-courses.uq.edu.au/course.html?course_code=ADVT3509
ADVT7506	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7506
ADVT7507	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7507
ADVT7508	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7508
ADVT7509	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7509
ADVT7510	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7510
ADVT7512	https://programs-courses.uq.edu.au/course.html?course_code=ADVT7512
AERO4100	https://programs-courses.uq.edu.au/course.html?course_code=AERO4100
AERO4200	https://programs-courses.uq.edu.au/course.html?course_code=AERO4200
AERO4300	https://programs-courses.uq.edu.au/course.html?course_code=AERO4300
AERO4800	https://programs-courses.uq.edu.au/course.html?course_code=AERO4800
AGRC1041	https://programs-courses.uq.edu.au/course.html?course_code=AGRC1041
AGRC1135D	https://programs-courses.uq.edu.au/course.html?course_code=AGRC1135D
AGRC1140D	https://programs-courses.uq.edu.au/course.html?course_code=AGRC1140D
AGRC2000	https://programs-courses.uq.edu.au/course.html?course_code=AGRC2000
AGRC2013	https://programs-courses.uq.edu.au/course.html?course_code=AGRC2013
AGRC2030	https://programs-courses.uq.edu.au/course.html?course_code=AGRC2030
AGRC2048	https://programs-courses.uq.edu.au/course.html?course_code=AGRC2048
AGRC3000	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3000
AGRC3002	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3002
AGRC3006	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3006
AGRC3018	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3018
AGRC3023	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3023
AGRC3040	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3040
AGRC3060	https://programs-courses.uq.edu.au/course.html?course_code=AGRC3060
AGRC6631	https://programs-courses.uq.edu.au/course.html?course_code=AGRC6631
AGRC7034	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7034
AGRC7043	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7043
AGRC7047	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7047
AGRC7048	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7048
AGRC7051	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7051
AGRC7053	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7053
AGRC7200	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7200
AGRC7400	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7400
AGRC7520	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7520
AGRC7617	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7617
AGRC7621	https://programs-courses.uq.edu.au/course.html?course_code=AGRC7621
ANAT1002	https://programs-courses.uq.edu.au/course.html?course_code=ANAT1002
ANAT1005	https://programs-courses.uq.edu.au/course.html?course_code=ANAT1005
ANAT1012	https://programs-courses.uq.edu.au/course.html?course_code=ANAT1012
ANAT1019	https://programs-courses.uq.edu.au/course.html?course_code=ANAT1019
ANAT3022	https://programs-courses.uq.edu.au/course.html?course_code=ANAT3022
ANCH1250	https://programs-courses.uq.edu.au/course.html?course_code=ANCH1250
ANCH2040	https://programs-courses.uq.edu.au/course.html?course_code=ANCH2040
ANCH2230	https://programs-courses.uq.edu.au/course.html?course_code=ANCH2230
ANCH2301	https://programs-courses.uq.edu.au/course.html?course_code=ANCH2301
ANCH3570	https://programs-courses.uq.edu.au/course.html?course_code=ANCH3570
ANCH3580	https://programs-courses.uq.edu.au/course.html?course_code=ANCH3580
ANIM1020	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1020
ANIM1026	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1026
ANIM1115D	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1115D
ANIM1120	https://programs-courses.uq.edu.au/course.html?course_code=ANIM1120
ANIM2021	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2021
ANIM2033	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2033
ANIM2053	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2053
ANIM2503	https://programs-courses.uq.edu.au/course.html?course_code=ANIM2503
ANIM3006	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3006
ANIM3018	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3018
ANIM3049	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3049
ANIM3125	https://programs-courses.uq.edu.au/course.html?course_code=ANIM3125
ANIM7023	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7023
ANIM7043	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7043
ANIM7240	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7240
ANIM7241	https://programs-courses.uq.edu.au/course.html?course_code=ANIM7241
ANTH1008	https://programs-courses.uq.edu.au/course.html?course_code=ANTH1008
ANTH1030	https://programs-courses.uq.edu.au/course.html?course_code=ANTH1030
ANTH2010	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2010
ANTH2020	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2020
ANTH2270	https://programs-courses.uq.edu.au/course.html?course_code=ANTH2270
ANTH3019	https://programs-courses.uq.edu.au/course.html?course_code=ANTH3019
ANTH3140	https://programs-courses.uq.edu.au/course.html?course_code=ANTH3140
